ID,Name,Link,EIN,Overall Rating,Program Expenses,Administrative Expenses,Fundraising Expenses,Fundraising Efficiency,Working Capital Ratio (years),Program Expenses Growth,Liabilities to Assets,Independent Voting Board Members,No Material diversion of assets,Audited financials prepared by independent accountant,Does Not Provide Loan(s) to or Receive Loan(s) From related parties,Documents Board Meeting Minutes,Provided copy of Form 990 to organization's governing body in advance of filing,Conflict of Interest Policy,Whistleblower Policy,Records Retention and Destruction Policy,CEO listed with salary,Process for determining CEO compensation,Board Listed / Board Members Not Compensated,Donor Privacy Policy,Board Members Listed,Audited Financials,Form 990,Key staff listed
5553,National YoungArts Foundation - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10269,59-2141837,89.02,0.8580,0.0650,0.0760,0.12,1.76,-0.1090,0.0600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5554,National Youth Leadership Council - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14015,41-1449746,86.09,0.8340,0.1280,0.0370,0.06,0.25,-0.1490,0.1410,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5555,Native American Heritage Association - SD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5364,46-0414390,92.92,0.9690,0.0110,0.0190,< $0.01,0.25,0.0920,0.3530,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5556,Native American Rights Fund - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4204,84-0611876,83.92,0.7460,0.0800,0.1720,0.12,3.89,0.0040,0.0550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5557,Native Seeds/SEARCH - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6578,94-2899356,78.07,0.7680,0.1010,0.1290,0.25,0.94,0.0090,0.3260,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5558,Nativity Academy at Saint Boniface - KY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16930,51-0450314,89.42,0.7910,0.0750,0.1330,0.12,1.01,0.0780,0.0440,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5559,Nativity Prep Academy - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13051,33-0886247,81.05,0.7770,0.0760,0.1450,0.13,0.92,0.0680,0.0990,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
5560,Nativity School of Worcester - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12056,03-0385377,79.34,0.7330,0.1530,0.1130,0.06,2.6,0.0290,0.1010,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5561,Natural History Museum of Los Angeles County - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6483,95-6132185,86.41,0.7550,0.1490,0.0940,0.38,3.61,0.0750,0.4050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5562,Natural Resources Council of Maine - ME,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4206,01-0270690,93.96,0.7940,0.0940,0.1110,0.11,2.94,0.0760,0.0360,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5563,Natural Resources Defense Council - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4207,13-2654926,93.49,0.8340,0.0780,0.0870,0.08,2.21,0.0270,0.1650,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5564,Nature and Culture International - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14219,33-0773524,93.91,0.8990,0.0430,0.0560,0.05,0.55,0.1420,0.2390,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
5565,The Nature Center at Shaker Lakes - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10048,34-6576569,87.76,0.8040,0.0800,0.1150,0.13,1.69,0.0550,0.0390,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5566,The Nature Conservancy - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4208,53-0242652,84.06,0.6840,0.1840,0.1310,0.14,7.2,0.0140,0.1100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5567,NatureServe - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6564,52-1884438,84.93,0.7730,0.1890,0.0370,0.04,0.15,0.0140,0.2390,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5568,Navajo Ministries - NM,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6393,85-0113191,77,0.7120,0.1640,0.1230,0.14,1.27,-0.0170,0.1410,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
5569,Naval Aviation Museum Foundation - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8998,59-6178237,96.46,0.8720,0.1050,0.0220,0.06,1.79,0.0910,0.0880,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5570,The Naval Institute Foundation - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11603,52-1814344,85.98,0.8280,0.0480,0.1230,0.15,1.35,0.4770,< 0.1%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5571,Naval War College Foundation - RI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11292,23-7063084,94.08,0.7680,0.1710,0.0590,0.09,7.47,0.1010,0.0080,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5572,Navy SEAL Foundation - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13076,31-1728910,100,0.9140,0.0530,0.0310,< $0.01,5.35,0.2150,0.0120,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5573,Navy-Marine Corps Relief Society - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4209,53-0204618,89.39,0.8510,0.0950,0.0530,0.08,3.31,-0.0430,0.2130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5574,Nazarene Compassionate Ministries - KS,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9528,43-1550318,90.71,0.9780,0.0160,0.0040,< $0.01,0.07,0.1090,0.2230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5575,NBCC Foundation - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16275,56-1939558,87.14,0.8600,0.0530,0.0860,0.08,0.59,0.2900,< 0.1%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5576,NC WARN - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17137,56-1734433,75.89,0.9000,0.0800,0.0190,< $0.01,0.54,0.1590,< 0.1%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5577,NCSL Foundation for State Legislatures - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14660,74-2232576,80.44,0.8030,0.0610,0.1350,0.17,0.14,-0.0160,< 0.1%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5578,NCTA - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5937,51-0236530,83.25,0.9280,0.0450,0.0250,0.02,2.76,0.0120,< 0.1%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
5579,NDI New Mexico - NM,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15057,85-0431846,91.71,0.8040,0.0740,0.1210,0.16,4.65,0.0500,0.0100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
5580,The NEA Foundation - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4180,23-7035089,94.37,0.8330,0.1120,0.0540,0.08,6.33,0.0150,0.0130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5581,NEADS World Class Service Dogs - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5143,23-7281887,94.27,0.8280,0.0950,0.0750,0.07,2.88,0.0400,0.0630,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5582,Near East Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5993,13-1624114,92.92,0.9140,0.0610,0.0230,0.02,0.28,0.2330,0.2860,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5583,Near West Theatre - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15264,34-1881815,89.24,0.8620,0.0530,0.0840,0.13,5.63,0.2220,0.0340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5584,Neat Stuff - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10379,65-0746714,83.73,0.8790,0.0770,0.0430,0.04,1.43,0.0960,< 0.1%,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5585,Nebraska AIDS Project - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9236,47-0786622,89.81,0.8660,0.1270,0.0050,< $0.01,0.27,0.0850,0.1180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5586,Nebraska Children and Families Foundation - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15059,91-1829974,96.66,0.8890,0.0810,0.0280,0.02,1.13,0.1210,0.0630,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5587,Nebraska Humane Society - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4212,47-0378997,93.58,0.8540,0.0700,0.0750,0.17,2.47,0.0570,0.0220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
5588,Nebraska Humanities Council - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8110,23-7359778,90.32,0.7940,0.1250,0.0790,0.09,0.17,0.0780,0.2180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
5589,Nebraska Lutheran Outdoor Ministries - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7056,47-0488319,93.37,0.8120,0.1000,0.0860,0.13,2.08,0.0220,0.0280,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5590,NEED - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11099,25-6070821,66.95,0.6860,0.2240,0.0880,0.15,0.37,-0.1030,0.0290,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5591,Need Him Global - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11591,75-2716321,79.57,0.7440,0.0840,0.1710,0.16,0.3,-0.1170,0.1030,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
5592,Negative Population Growth - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8218,46-4868482,78.66,0.7520,0.1700,0.0770,0.04,16.21,-0.0150,< 0.1%,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5593,The Negev Foundation - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6923,34-1690546,81.08,0.7090,0.2520,0.0370,0.07,2.56,0.0070,< 0.1%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5594,Nehemiah Center - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12784,76-0437157,88.72,0.7590,0.0840,0.1550,0.18,1.08,0.0470,0.1630,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5595,Neighbor For Neighbor - OK,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12534,73-0776404,72.21,0.9090,0.0710,0.0180,0.02,1.27,-0.0640,0.0040,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5596,Neighbor to Neighbor - CT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14343,06-6071605,94.44,0.9280,0.0480,0.0230,0.02,1.29,0.0240,< 0.1%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
5597,Neighborhood Christian Centers - TN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15479,58-1394456,83.32,0.8260,0.1030,0.0700,0.07,0.76,< 0.1%,0.2020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5598,The Neighborhood Christian Clinic - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14889,86-0839580,88.93,0.8830,0.0580,0.0580,0.07,0.79,0.0800,0.0350,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5599,Neighborhood Club - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14631,38-1387143,90.58,0.8770,0.1040,0.0170,0.14,2.78,0.0420,0.3240,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5600,Neighborhood Development Center - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15318,41-1738791,82.92,0.7980,0.1780,0.0230,0.02,1.31,-0.0390,0.5350,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5601,Neighborhood Health Clinic - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11510,59-3546884,96.79,0.7760,0.1290,0.0930,0.07,5.47,0.1450,0.0130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5602,Neighborhood House of Milwaukee - WI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14297,39-0806269,84.94,0.7750,0.1430,0.0800,0.09,1.12,0.0230,0.1160,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
5603,"Neighborhood House, Louisville - KY",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14422,61-0445842,92.17,0.7770,0.1280,0.0930,0.17,1.2,0.0330,0.0330,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5604,"Neighborhood House, St. Paul - MN",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7966,41-0693916,93.84,0.8290,0.1020,0.0670,0.08,2.36,0.0520,0.0210,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5605,Neighborhood Housing Services of Chicago - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6874,23-7443009,67.53,0.6900,0.2160,0.0920,0.21,< 0.01,-0.0300,1.7370,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5606,Neighborhood Legal Services Association - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9454,25-1157129,86.5,0.8920,0.0760,0.0300,0.02,0.47,0.0100,0.0260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5607,Neighborhood Ministries - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14120,86-0809052,88.23,0.7990,0.1200,0.0790,0.07,1.99,0.0150,0.1620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5608,Neighborhood Partnership Housing Services - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17449,33-0435536,67.96,0.7220,0.1430,0.1330,0.16,0.47,0.0050,0.4290,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5609,Neighborhood Partnerships - OR,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8134,91-1943624,82.77,0.9810,0.0140,0.0030,< $0.01,0.03,-0.0030,0.9830,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
5610,Neighbors - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15315,41-1360294,90.63,0.9510,0.0340,0.0140,< $0.01,0.69,0.0560,0.0900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5611,Nelson-Atkins Museum of Art - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4214,44-6012977,88.06,0.7460,0.1740,0.0780,0.16,8.95,0.0270,0.2790,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
5612,NEO Philanthropy - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12844,13-3191113,80.85,0.9260,0.0530,0.0190,< $0.01,0.49,-0.0030,0.0480,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5613,Nepal Youth Foundation - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6330,68-0224596,96.32,0.8430,0.0810,0.0750,0.08,0.93,0.1390,0.0210,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5614,NephCure Kidney International - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13015,38-3569922,87.97,0.8730,0.0550,0.0710,0.06,0.2,0.1130,0.5580,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5615,NESsT - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13207,52-2018791,85.69,0.8500,0.0860,0.0620,0.08,0.25,-0.0330,0.2620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
5616,Netherland-America Foundation - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6010,13-2989216,95.05,0.8850,0.0410,0.0720,0.06,2.8,0.7010,0.0570,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
5617,NetHope - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13133,20-1782011,87.58,0.8090,0.1600,0.0300,0.03,0.31,0.1630,0.3610,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5618,Network for Teaching Entrepreneurship - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8552,13-3408731,85.27,0.7290,0.1510,0.1180,0.09,1.11,0.0050,0.1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5619,Network Knowledge - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15294,37-1019920,76.46,0.8730,0.0890,0.0370,0.05,< 0.01,-0.0270,1.2140,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5620,NETWORK of Community Ministries - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12054,75-2060900,90.68,0.8600,0.0980,0.0400,0.04,0.32,0.0080,0.0310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5621,Neuroendocrine Tumor Research Foundation - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12960,20-1945347,97.17,0.8900,0.0430,0.0660,0.02,2.92,0.4730,0.2380,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5622,Nevada Ballet Theatre - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9777,94-2427112,84.37,0.7180,0.2230,0.0580,0.11,1.9,0.0990,0.0220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5623,Nevada Childhood Cancer Foundation - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13824,88-0302673,90,0.8780,0.0200,0.1000,0.08,1.34,0.0360,0.0490,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5624,Nevada City Community Broadcast Group - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15978,94-2846388,82.11,0.5990,0.1240,0.2750,0.31,2.85,0.0640,0.4280,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
5625,Nevada Humane Society - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9093,88-0072720,100,0.9070,0.0650,0.0270,0.02,2.6,0.1150,0.0250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5626,Nevada Museum of Art - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8381,88-6003042,87.93,0.7700,0.1160,0.1130,0.06,7.89,0.0520,0.0480,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5627,Nevada Public Radio Corporation - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8351,23-7441306,82.5,0.6220,0.0800,0.2970,0.41,0.68,0.0480,0.2620,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
